ejex;ejey;color;label
0.759977088;0.661202069;rojo;0
0.757236816;-0.345786689;rojo;1
0.413946878;0.784838188;rojo;0
1.144126975;0.372169103;rojo;0
-0.443771943;0.780448911;rojo;0
1.516731173;-0.54386766;rojo;1
0.024158294;0.457550236;rojo;1
0.282342012;-0.325131861;rojo;1
1.875701069;-0.25930262;rojo;1
0.223073854;-0.079374906;rojo;1
0.087380553;0.368038583;rojo;1
0.280960537;-0.243657576;amarillo;1
-0.013543967;0.169941541;amarillo;1
-0.953218037;0.391686313;amarillo;0
2.029744276;0.309038278;amarillo;1
0.324007438;-0.166351348;amarillo;1
0.67658519;0.698713108;amarillo;0
1.982049911;0.490130847;amarillo;1
-0.102584058;0.969369199;amarillo;0
-0.186241159;1.030244554;amarillo;0
0.322794395;1.003782545;amarillo;0
-0.6969144;0.67571097;amarillo;0
1.102172811;-0.461888854;amarillo;1
-0.9068529;0.363713119;amarillo;0
-0.08451667;0.654767936;amarillo;1
1.528845915;-0.414282167;amarillo;1
1.285361028;-0.497053433;amarillo;1
0.681946034;-0.57206149;amarillo;1
0.79739568;0.518674493;amarillo;0
-0.918121309;0.430516655;amarillo;0
-1.092329391;0.187361016;amarillo;0
1.88457672;0.148587689;amarillo;1
0.761979301;0.602189739;amarillo;0
1.413505653;-0.435219968;amarillo;1
0.546484831;0.95479553;amarillo;0
0.957993979;-0.515348037;amarillo;1
1.608004943;-0.221386328;amarillo;1
0.852582216;0.611130948;amarillo;0
0.118980638;-0.226246776;amarillo;1
0.238804274;0.939984283;amarillo;0
0.065506013;0.098705632;amarillo;1
0.859992817;0.58159918;amarillo;0
-1.000194067;0.257377923;amarillo;0
-0.902831594;0.051807749;amarillo;0
1.254189596;-0.456043368;amarillo;1
-0.61504296;0.902226913;amarillo;0
0.925764046;-0.500695388;amarillo;1
-0.945643576;0.194178839;amarillo;0
0.597551616;-0.301051888;amarillo;1
0.347660693;-0.183362909;amarillo;1
0.855631477;-0.512099804;amarillo;1
0.917649275;-0.489768766;amarillo;1
1.853145521;0.390742461;amarillo;1
0.06626211;0.073861391;amarillo;1
-0.036333178;0.160238991;amarillo;1
0.263027572;-0.469114115;amarillo;1
1.259788055;-0.411839053;amarillo;1
0.689649081;0.562532296;amarillo;0
1.012169823;0.05206058;amarillo;0
0.258182423;0.880481004;amarillo;0
2.042173547;0.102658252;amarillo;1
0.087917622;0.394905305;amarillo;1
0.12652261;0.127961367;amarillo;1
0.661796742;-0.359265285;amarillo;1
2.005607488;0.301856562;amarillo;1
-0.338995867;0.931570119;amarillo;0
1.766555658;0.091672381;amarillo;1
0.049803833;0.889374789;amarillo;0
2.018152848;0.607480907;amarillo;1
-0.640863891;0.706320932;amarillo;0
0.048682152;0.791550229;amarillo;0
-0.584892413;0.671280855;amarillo;0
-0.03757064;0.926761142;amarillo;0
1.851534413;0.0659949;amarillo;1
1.066134746;0.273520405;amarillo;0
0.874654049;-0.535293363;amarillo;1
-0.287532567;0.917791852;amarillo;0
1.767889507;0.127263119;amarillo;1
-0.743395157;0.478786762;amarillo;0
